Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,State,24,Maryland,MC,493086,9129040,5.4,-4.31,-0.66,50824,10.31,0.7,-0.4
2019,State,25,Massachusetts,All,368831,16426950,2.25,-3.3,-0.37,35364,9.59,0.91,0.01
2019,State,25,Massachusetts,FFS,176076,7949305,2.22,-2.51,-0.33,17916,10.18,0.53,0.09
2019,State,25,Massachusetts,MC,192755,8477645,2.27,-4.01,-0.41,17448,9.05,1.03,-0.1
2019,State,26,Michigan,All,1038455,27368982,3.79,-5.18,-0.85,58585,5.64,-0.14,-0.11
2019,State,26,Michigan,FFS,85239,8507195,1,-2.33,-0.31,6755,7.92,0.92,0.27
2019,State,26,Michigan,MC,953216,18861787,5.05,-7.01,-1.1,51830,5.44,-0.16,-0.13
2019,State,27,Minnesota,All,320765,11420217,2.81,-3.66,-0.56,25451,7.93,0.27,-0.06
2019,State,27,Minnesota,FFS,45228,1915753,2.36,-3.24,-0.37,4093,9.05,0.4,-0.69
2019,State,27,Minnesota,MC,275537,9504464,2.9,-3.84,-0.6,21358,7.75,0.35,0.03
2019,State,28,Mississippi,All,197700,5371695,3.68,-3.6,-0.85,9269,4.69,1.19,0.04
2019,State,28,Mississippi,FFS,28805,924414,3.12,-0.83,-0.51,2099,7.29,3.55,0.18
2019,State,28,Mississippi,MC,168895,4447281,3.8,-6.5,-0.93,7170,4.25,0.84,0.02
2019,State,29,Missouri,All,354685,10936865,3.24,-3.4,-0.73,28104,7.92,-0.8,-1.24
2019,State,29,Missouri,FFS,354685,10936865,3.24,-3.4,-0.73,28104,7.92,-0.8,-1.24
2019,State,29,Missouri,MC,0,0,"","","",0,"","",""
2019,State,30,Montana,All,300500,3050636,9.85,1.7,0.37,181069,60.26,48.9,9.53
2019,State,30,Montana,FFS,300500,3050636,9.85,1.7,0.37,181069,60.26,48.9,9.53
2019,State,30,Montana,MC,0,0,"","","",0,"","",""
2019,State,31,Nebraska,All,75085,2414233,3.11,-3.06,-0.81,8796,11.71,2.25,-0.55
2019,State,31,Nebraska,FFS,199,8834,2.25,-4.08,-1.8,16,8.04,-1.68,-4.24
2019,State,31,Nebraska,MC,74886,2405399,3.11,-0.31,-0.81,8780,11.72,10.57,-0.54
2019,State,32,Nevada,All,294282,6326556,4.65,-5.17,-0.62,24945,8.48,-0.31,-0.59
2019,State,32,Nevada,FFS,107671,1811432,5.94,-3.8,-0.6,12252,11.38,-0.72,-0.63
2019,State,32,Nevada,MC,186611,4515124,4.13,-5.78,-0.59,12693,6.8,1.27,-0.5
2019,State,33,"New Hampshire",All,46089,1801094,2.56,-3.72,-0.08,6474,14.05,-0.09,-0.2
2019,State,33,"New Hampshire",FFS,1217,46544,2.61,-3.61,-0.57,146,12,0.8,3.17
2019,State,33,"New Hampshire",MC,44872,1754550,2.56,-3.73,-0.03,6328,14.1,-0.56,-0.81
2019,State,34,"New Jersey",All,495531,18770567,2.64,-2.44,-0.31,41545,8.38,-0.02,-0.35
2019,State,34,"New Jersey",FFS,10139,415001,2.44,-2.98,-0.53,2004,19.77,-1.38,0.06
2019,State,34,"New Jersey",MC,485392,18355566,2.64,-2.42,-0.31,39541,8.15,0.66,-0.34
2019,State,35,"New Mexico",All,202077,5011892,4.03,-3.78,-0.65,7305,3.62,-2.23,-0.27
2019,State,35,"New Mexico",FFS,13402,317266,4.22,-5.29,-1.13,548,4.09,1.92,-0.11
2019,State,35,"New Mexico",MC,188675,4694626,4.02,-3.75,-0.62,6757,3.58,-2.39,-0.29
2019,State,36,"New York",All,1138716,65624447,1.74,-1.51,-0.26,89826,7.89,-1.24,-0.51
2019,State,36,"New York",FFS,79871,8419509,0.95,-1.09,-0.05,10954,13.71,-1.27,-0.61
2019,State,36,"New York",MC,1058845,57204938,1.85,-1.57,-0.27,78872,7.45,-1.19,-0.62
2019,State,37,"North Carolina",All,520458,15521594,3.35,-3.98,-0.65,59423,11.42,2.24,0.42
2019,State,37,"North Carolina",FFS,520458,15521594,3.35,-3.98,-0.65,59423,11.42,2.24,0.42
2019,State,37,"North Carolina",MC,0,0,"","","",0,"","",""
2019,State,38,"North Dakota",All,29732,953771,3.12,-4.18,-0.71,942,3.17,-4.52,-1.17
2019,State,38,"North Dakota",FFS,13978,504720,2.77,-3.66,-0.48,426,3.05,-5.03,-1.35
2019,State,38,"North Dakota",MC,15754,449051,3.51,-6.45,-1.11,516,3.28,-3.63,-0.99
